op;Thing;Longitude;Latitude;Result
mcpm10;1;26;149;7.627777777777777
mcpm10;1;75;125;5.507129629629629
mcpm10;1;108;107;4.13909090909091
mcpm10;1;109;84;10.75945945945946
mcpm10;1;112;125;4.627570093457944
mcpm10;1;115;84;3.1549074074074075
mcpm10;1;138;182;8.436970697656696
mcpm10;1;139;97;3.3571559633027523
mcpm10;1;141;95;3.0811818181818182
mcpm10;1;146;103;5.0715596330275226
mcpm10;1;155;114;10.846773136773137
mcpm10;1;212;125;5.0543119266055045
mcpm10;1;217;150;2.723153153153153
mcpm10;1;222;68;5.2300934579439256
mcpm10;2;57;34;6.529090909090908
mcpm10;2;57;35;5.73
mcpm10;2;62;84;2.780363636363636
mcpm10;2;62;85;2.768
mcpm10;2;72;44;6.61
mcpm10;2;73;44;6.235
mcpm10;2;73;45;6.895
mcpm10;2;74;123;3.755833333333333
mcpm10;2;94;191;3.45
mcpm10;2;95;191;3.64375
mcpm10;2;116;31;3.6008333333333336
mcpm10;2;116;122;4.495
mcpm10;2;117;69;2.595
mcpm10;2;118;69;2.697
mcpm10;2;118;113;3.5681818181818183
mcpm10;2;119;113;3.46
mcpm10;2;131;102;4.194166666666667
mcpm10;2;131;148;4.5075
mcpm10;2;132;148;4.88625
mcpm10;2;136;96;3.835
mcpm10;2;136;97;3.848333333333333
mcpm10;2;137;97;3.48
mcpm10;2;137;98;3.76
mcpm10;2;139;97;3.4008333333333334
mcpm10;2;148;209;2.888333333333333
mcpm10;2;151;13;2.3408333333333333
mcpm10;2;152;13;2.371875
mcpm10;2;154;120;7.63
mcpm10;2;168;75;6.6275
mcpm10;2;197;85;3.89375
mcpm10;2;197;86;2.98
mcpm10;2;198;85;3.973333333333333
mcpm10;2;206;140;4.8125
mcpm10;2;225;143;9.379090909090907
mcpm10;2;225;150;3.0666666666666664
mcpm10;2;225;151;2.942222222222222
mcpm2p5;1;26;149;7.627777777777777
mcpm2p5;1;75;125;2.4699074074074074
mcpm2p5;1;108;107;1.744909090909091
mcpm2p5;1;109;84;10.75945945945946
mcpm2p5;1;112;125;2.69803738317757
mcpm2p5;1;115;84;1.7510185185185188
mcpm2p5;1;138;182;7.7084618992655445
mcpm2p5;1;139;97;1.5600917431192662
mcpm2p5;1;141;95;1.6267272727272728
mcpm2p5;1;146;103;2.348440366972477
mcpm2p5;1;155;114;10.846773136773137
mcpm2p5;1;212;125;2.0587155963302752
mcpm2p5;1;217;150;1.3623423423423424
mcpm2p5;1;222;68;2.7901869158878507
mcpm2p5;2;57;34;5.422727272727273
mcpm2p5;2;57;35;5.05
mcpm2p5;2;62;84;1.919090909090909
mcpm2p5;2;62;85;1.954
mcpm2p5;2;72;44;5.025
mcpm2p5;2;73;44;4.91375
mcpm2p5;2;73;45;4.815
mcpm2p5;2;74;123;2.5641666666666665
mcpm2p5;2;94;191;2.3375
mcpm2p5;2;95;191;2.38375
mcpm2p5;2;116;31;2.419166666666667
mcpm2p5;2;116;122;2.9891666666666663
mcpm2p5;2;117;69;1.935
